"start_year","start_month","start_day","end_year","end_month","end_day","latitude","longitude","end_date","start_date","days_between","num_earthquakes_before_erupt","exp_num_earthquakes_before_erupt"
2016,9,13,2017,3,2,-16.355,-70.903,2017-03-02,2016-09-13,170,0,0
2016,9,11,2016,9,18,-21.244,55.708,2016-09-18,2016-09-11,7,0,0
2016,8,3,2016,8,4,0.8,127.33,2016-08-04,2016-08-03,1,1,0.367879441171442
2016,8,1,2016,9,27,-8.42,116.47,2016-09-27,2016-08-01,57,0,0
2016,7,27,2016,8,18,50.324,155.461,2016-08-18,2016-07-27,22,0,0
2016,6,18,2016,6,18,13.434,-88.269,2016-06-18,2016-06-18,0,3,0.149361205103592
2016,6,10,2017,3,2,12.769,124.056,2017-03-02,2016-06-10,265,0,0
2016,6,5,2016,8,16,10.2,-84.233,2016-08-16,2016-06-05,72,0,0
2016,5,26,2016,5,27,-21.244,55.708,2016-05-27,2016-05-26,1,0,0
2016,4,27,2016,4,27,-37.52,177.18,2016-04-27,2016-04-27,0,0,0
2016,4,24,2016,7,19,-59.017,-26.533,2016-07-19,2016-04-24,86,3,0.149361205103592
2016,4,22,2016,4,22,12.702,-87.004,2016-04-22,2016-04-22,0,2,0.270670566473225
2016,4,16,2019,1,16,52.825,-169.944,2019-01-16,2016-04-16,1005,8,0.00268370102322009
2016,4,2,2018,10,30,-5.525,148.42,2018-10-30,2016-04-02,941,3,0.149361205103592
2016,3,31,2016,6,9,-1.697,101.264,2016-06-09,2016-03-31,70,0,0
2016,3,30,2016,5,16,-56.3,-27.57,2016-05-16,2016-03-30,47,9,0.00111068823678012
2016,3,29,2016,3,31,50.324,155.461,2016-03-31,2016-03-29,2,0,0
2016,3,27,2016,7,30,55.417,-161.894,2016-07-30,2016-03-27,125,0,0
2016,3,25,2016,11,17,-2.005,-78.341,2016-11-17,2016-03-25,237,0,0
2016,2,22,2016,2,22,12.769,124.056,2016-02-22,2016-02-22,0,0,0
2016,1,12,2016,1,18,13.434,-88.269,2016-01-18,2016-01-12,6,3,0.149361205103592
2016,1,8,2020,4,17,-36.868,-71.378,2020-04-17,2016-01-08,1561,0,0
2016,1,2,2016,2,7,1.112,124.737,2016-02-07,2016-01-02,36,0,0
2015,12,1,2016,4,7,12.423,-86.539,2016-04-07,2015-12-01,128,3,0.149361205103592
2015,11,24,2016,6,18,10.412,123.132,2016-06-18,2015-11-24,207,1,0.367879441171442
2015,11,14,2015,11,14,-0.38,100.474,2015-11-14,2015-11-14,0,0,0
2015,11,12,2016,11,12,-7.942,112.95,2016-11-12,2015-11-12,366,1,0.367879441171442
2015,10,30,2017,4,2,-23.37,-67.73,2017-04-02,2015-10-30,520,1,0.367879441171442
2015,10,25,2015,12,24,-8.42,116.47,2015-12-24,2015-10-25,60,0,0
2015,10,3,2020,4,17,11.985,-86.165,2020-04-17,2015-10-03,1658,4,0.0732625555549367
2015,9,29,2016,8,11,50.861,155.565,2016-08-11,2015-09-29,317,0,0
2015,9,23,2016,5,11,12.606,-86.84,2016-05-11,2015-09-23,231,3,0.149361205103592
2015,9,18,2016,12,30,-37.856,-71.183,2016-12-30,2015-09-18,469,0,0
2015,8,30,2015,9,28,1.358,124.792,2015-09-28,2015-08-30,29,0,0
2015,8,28,2018,6,15,56.056,160.642,2018-06-15,2015-08-28,1022,0,0
2015,8,14,2016,1,24,-0.677,-78.436,2016-01-24,2015-08-14,163,0,0
2015,8,13,2015,8,13,13.434,-88.269,2015-08-13,2015-08-13,0,2,0.270670566473225
2015,7,23,2015,7,24,12.3,-61.64,2015-07-24,2015-07-23,1,0,0
2015,7,16,2015,9,8,0.8,127.33,2015-09-08,2015-07-16,54,1,0.367879441171442
2015,7,7,2015,7,8,-8.508,124.13,2015-07-08,2015-07-07,1,2,0.270670566473225
2015,6,29,2015,7,1,35.233,139.021,2015-07-01,2015-06-29,2,1,0.367879441171442
2015,6,28,2015,7,9,-15.787,-71.857,2015-07-09,2015-06-28,11,1,0.367879441171442
2015,6,24,2015,6,24,-6.895,108.408,2015-06-24,2015-06-24,0,1,0.367879441171442
2015,6,20,2015,8,24,-2.764,35.914,2015-08-24,2015-06-20,65,0,0
2015,6,16,2015,6,16,36.406,138.523,2015-06-16,2015-06-16,0,2,0.270670566473225
